name:,price:,discounted_price:,psn_price:,psn_old_price:,rating:,rating_count:,situation:,Collection Date:,Platform:,Release:,Genres:,Publisher:,Voice:,Screen Languages:,PS5 Voice:,PS5 Screen Languages:,PS4 Voice:,PS4 Screen Languages:,Link:
VALORANT,Free,,,,3.61,54k ratings,Add to Library,10/02/2025,PS5,2/8/2024,"Shooter, Action",RIOT GAMES,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish","Arabic, Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish, Vietnamese",,,,,https://store.playstation.com/en-tr/concept/10010048
Gran Turismo™ 7,"1.999,00 TL",,,,4.37,33k ratings,Add to Cart,10/02/2025,"PS4, PS5",3/3/2022,Driving/Racing,Polyphony Digital Inc,,"Arabic, Czech, Dutch, English, French (France), German, Greek, Italian, Japanese, Polish, Portuguese (Portugal), Russian, Spanish, Turkish",,,,,https://store.playstation.com/en-tr/concept/10000956
Marvel’s Spider-Man 2,"2.799,00 TL",,Game Trial,,4.8,171k ratings,Add to Cart,10/02/2025,PS5,19/10/2023,Action,Sony Interactive Entertainment Europe,"Arabic, English, French (France), German, Italian, Polish, Portuguese (Portugal), Russian, Spanish","Arabic, Czech, Danish, Dutch, English, Finnish, French (France), German, Greek, Hungarian, Italian, Norwegian, Polish, Portuguese (Portugal), Russian, Spanish, Swedish",,,,,https://store.playstation.com/en-tr/concept/10002456
UNCHARTED: Legacy of Thieves Collection,"1.249,00 TL",,Included,"1.249,00 TL",4.74,203k ratings,Add to Cart,10/02/2025,PS5,27/1/2022,"Action, Adventure",Sony Interactive Entertainment Europe,"Arabic, Dutch, English, French (France), German, Italian, Polish, Portuguese (Portugal), Russian, Spanish, Turkish","Czech, Danish, Dutch, English, Finnish, French (France), German, Greek, Italian, Norwegian, Polish, Portuguese (Portugal), Russian, Spanish, Swedish, Turkish",,,,,https://store.playstation.com/en-tr/concept/205354
F1® 24,Free,,"434,99 TL","2.899,99 TL",4.08,6.9k ratings,Add to Library,10/02/2025,"PS4, PS5",28/5/2024,Driving/Racing,EA Swiss Sarl,"Chinese, Dutch, English, French (France), German, Italian, Japanese, Portuguese (Brazil), Spanish, Spanish (Mexico)","Chinese (Simplified), Dutch, English, French (France), German, Italian, Japanese, Polish, Portuguese (Brazil), Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/10008874
EA SPORTS FC™ 25 Standard Edition PS4 & PS5,"1.159,99 TL","2.899,99 TL",Game Trial,,3.33,98k ratings,Add to Cart,10/02/2025,"PS4, PS5",19/9/2024,Sport,EA Swiss Sarl,,,"Arabic, Chinese, Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)","Czech, English, Polish, Russian, Turkish","English, French (France)","Czech, English, Polish, Russian, Turkish",https://store.playstation.com/en-tr/concept/10009762
Kingdom Come: Deliverance II Gold Edition,"3.149,00 TL",,,,4.64,4.8k ratings,Add to Cart,10/02/2025,PS5,4/2/2025,Role Playing Games,Deep Silver,"Czech, English, French (France), German, Spanish","Chinese (Simplified), Chinese (Traditional), Czech, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Turkish, Ukrainian",,,,,https://store.playstation.com/en-tr/concept/10006210
Fortnite,Free,,,,4.32,7m ratings,Add to Library,10/02/2025,PS5,21/7/2017,"Action, Adventure",Epic Games Inc.,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish","Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",,,,,https://store.playstation.com/en-tr/concept/228748
Call of Duty®: Black Ops 6 - Cross-Gen Bundle,"1.959,30 TL","2.799,00 TL",,,3.97,506k ratings,Add to Cart,10/02/2025,"PS4, PS5",24/10/2024,Action,Activision Blizzard Int'l BV,"English, French (France), German, Italian, Polish, Russian, Spanish","English, French (France), German, Italian, Polish, Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/10001130
Grand Theft Auto Online (PlayStation®5),"222,71 TL",,,,4.49,783k ratings,Add to Cart,10/02/2025,PS5,14/3/2022,"Adventure, Action",Rockstar Games,English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/201930
NBA 2K25 Standard Edition,"2.900,00 TL",,Game Trial,,3.15,18k ratings,Add to Cart,10/02/2025,"PS4, PS5",4/9/2024,Sport,2K,English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",,,,,https://store.playstation.com/en-tr/concept/10010481
It Takes Two PS4™ & PS5™,"374,99 TL","1.499,99 TL",Included,"1.499,99 TL",4.49,97k ratings,Add to Cart,10/02/2025,"PS4, PS5",25/3/2021,Unique,EA Swiss Sarl,,,English,"English, French (France), German, Italian, Spanish",English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish",https://store.playstation.com/en-tr/concept/234689
ASTRO BOT,"2.124,15 TL","2.499,00 TL",,,4.86,43k ratings,Add to Cart,10/02/2025,PS5,5/9/2024,Action,Sony Interactive Entertainment Europe,,"Arabic, Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), French (France), German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese (Portugal), Romanian, Russian, Spanish, Spanish (Mexico), Swedish, Thai, Turkish, Ukrainian, Vietnamese",,,,,https://store.playstation.com/en-tr/concept/10002684
eFootball™,Free,,,,3.78,399k ratings,Add to Library,10/02/2025,PS5,30/9/2021,Sport,Konami,"Arabic, English, French (France), German, Italian, Portuguese (Portugal), Spanish","Arabic, English, French (France), German, Italian, Portuguese (Portugal), Russian, Spanish, Turkish",,,,,https://store.playstation.com/en-tr/concept/10002427
Red Dead Redemption 2,"758,67 TL","2.299,00 TL",,,4.73,329k ratings,Add to Cart,10/02/2025,PS4,25/10/2018,"Unique, Adventure, Action",Rockstar Games,English,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/209441
Minecraft,Free,,"699,00 TL",,4.31,1m ratings,Add to Library,10/02/2025,PS5,22/10/2024,"Adventure, Arcade, Unique",MOJANG AB,,"Bulgarian, Chinese (Simplified), Chinese (Traditional), Czech, Danish, Dutch, English, Finnish, French (Canada), French (France), German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese (Portugal), Russian, Slovenian, Spanish, Spanish (Mexico), Swedish, Turkish, Ukrainian",,,,,https://store.playstation.com/en-tr/concept/212779
UFC® 5,"1.450,00 TL","2.900,00 TL",Included,"2.900,00 TL",3.17,16k ratings,Add to Cart,10/02/2025,PS5,26/10/2023,Fighting,EA Swiss Sarl,"English, French (France), German","Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Portuguese (Brazil), Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/10002788
Sid Meier's Civilization® VII,"2.499,00 TL",,,,,,Pre-Order,10/02/2025,"PS4, PS5",10/2/2025,Strategy,2K,,,,,,,https://store.playstation.com/en-tr/concept/10003168
Hogwarts Legacy PS5 Version,"944,70 TL","3.149,00 TL",Game Trial,,4.49,65k ratings,Add to Cart,10/02/2025,PS5,9/2/2023,Unique,WARNER BROS. INTERACTIVE,"English, French (France), German, Italian, Spanish","Arabic, English, French (France), German, Italian, Polish, Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/232447
Mortal Kombat™ 1,"1.749,00 TL",,Game Trial,,4.3,33k ratings,Add to Cart,10/02/2025,PS5,18/9/2023,Fighting,WARNER BROS. INTERACTIVE,"English, French (France), German, Italian, Portuguese (Brazil), Spanish, Spanish (Mexico)","English, French (France), German, Italian, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/10004911
Mortal Kombat 11,"34,90 TL","349,00 TL",Included,"349,00 TL",4.48,86k ratings,Add to Cart,10/02/2025,"PS4, PS5",17/11/2020,Fighting,WARNER BROS. INTERACTIVE,"English, French (France), German, Italian","English, French (France), German, Italian, Polish, Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/231756
The Last of Us™ Part II Remastered,"1.249,00 TL",,Game Trial,,4.48,210k ratings,Add to Cart,10/02/2025,PS5,18/1/2024,"Adventure, Action",Sony Interactive Entertainment Europe,"English, French (France), German, Greek, Italian, Polish, Portuguese (Portugal), Russian, Spanish, Turkish","Croatian, Czech, Danish, Dutch, English, Finnish, French (France), German, Greek, Hungarian, Italian, Norwegian, Polish, Portuguese (Portugal), Russian, Spanish, Swedish, Turkish",,,,,https://store.playstation.com/en-tr/concept/230079
WWE 2K24 Cross-Gen Digital Edition,"654,75 TL","2.619,00 TL",,,3.98,24k ratings,Add to Cart,10/02/2025,"PS4, PS5",7/3/2024,Sport,2K,English,"Arabic, English, French (France), German, Italian, Spanish",,,,,https://store.playstation.com/en-tr/concept/10007978
Diablo® IV - Expansion Bundle,"2.519,99 TL",,,,4.05,8.8k ratings,Add to Cart,10/02/2025,"PS4, PS5",9/6/2024,Unique,"Blizzard Entertainment, Inc.","Chinese, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)","Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",,,,,https://store.playstation.com/en-tr/concept/231761
VALORANT,Free,,,,3.61,54k ratings,Add to Library,10/02/2025,PS5,2/8/2024,"Shooter, Action",RIOT GAMES,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish","Arabic, Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Thai, Turkish, Vietnamese",,,,,https://store.playstation.com/en-tr/concept/10010048
Gran Turismo™ 7,"1.999,00 TL",,,,4.37,33k ratings,Add to Cart,10/02/2025,"PS4, PS5",3/3/2022,Driving/Racing,Polyphony Digital Inc,,"Arabic, Czech, Dutch, English, French (France), German, Greek, Italian, Japanese, Polish, Portuguese (Portugal), Russian, Spanish, Turkish",,,,,https://store.playstation.com/en-tr/concept/10000956
Marvel’s Spider-Man 2,"2.799,00 TL",,Game Trial,,4.8,171k ratings,Add to Cart,10/02/2025,PS5,19/10/2023,Action,Sony Interactive Entertainment Europe,"Arabic, English, French (France), German, Italian, Polish, Portuguese (Portugal), Russian, Spanish","Arabic, Czech, Danish, Dutch, English, Finnish, French (France), German, Greek, Hungarian, Italian, Norwegian, Polish, Portuguese (Portugal), Russian, Spanish, Swedish",,,,,https://store.playstation.com/en-tr/concept/10002456
UNCHARTED: Legacy of Thieves Collection,"1.249,00 TL",,Included,"1.249,00 TL",4.74,203k ratings,Add to Cart,10/02/2025,PS5,27/1/2022,"Action, Adventure",Sony Interactive Entertainment Europe,"Arabic, Dutch, English, French (France), German, Italian, Polish, Portuguese (Portugal), Russian, Spanish, Turkish","Czech, Danish, Dutch, English, Finnish, French (France), German, Greek, Italian, Norwegian, Polish, Portuguese (Portugal), Russian, Spanish, Swedish, Turkish",,,,,https://store.playstation.com/en-tr/concept/205354
F1® 24,Free,,"434,99 TL","2.899,99 TL",4.08,6.9k ratings,Add to Library,10/02/2025,"PS4, PS5",28/5/2024,Driving/Racing,EA Swiss Sarl,"Chinese, Dutch, English, French (France), German, Italian, Japanese, Portuguese (Brazil), Spanish, Spanish (Mexico)","Chinese (Simplified), Dutch, English, French (France), German, Italian, Japanese, Polish, Portuguese (Brazil), Spanish, Spanish (Mexico)",,,,,https://store.playstation.com/en-tr/concept/10008874
